filename,resume_text,skills
resume1.pdf,"Experienced software engineer with expertise in Python, Java, and C++. Proven track record in machine learning and data analysis.","python,java,c++,machine learning,data analysis"
resume2.docx,"Biomedical engineer with experience in signal processing, neural networks, and genomics. Skilled in biotechnology and bioinformatics.","biomedical,signal processing,neural networks,genomics,biotechnology,bioinformatics"
resume3.pdf,"Research scientist with a focus on clinical trials, data collection, and literature review. Strong background in experimental design and analysis.","research,clinical trials,data collection,literature review,experimental design,analysis"
resume4.docx,"Data scientist proficient in Python, machine learning, and deep learning. Experienced in using TensorFlow and PyTorch for natural language processing.","python,machine learning,deep learning,tensorflow,pytorch,natural language processing"
resume5.pdf,"Software developer with experience in Java, C++, and Python. Worked on various projects involving machine learning and data analysis.","java,c++,python,machine learning,data analysis"
resume6.pdf,"Project manager with experience in agile methodologies, project planning, and team leadership. Skilled in risk management and stakeholder communication.","agile methodologies,project planning,team leadership,risk management,stakeholder communication"
resume7.docx,"Marketing specialist with expertise in digital marketing, content creation, and SEO. Proven ability in social media management and campaign optimization.","digital marketing,content creation,SEO,social media management,campaign optimization"
resume8.pdf,"Financial analyst with strong skills in financial modeling, data analysis, and budgeting. Experienced in using Excel and financial software tools.","financial modeling,data analysis,budgeting,excel,financial software tools"
resume9.docx,"Mechanical engineer with experience in CAD design, thermodynamics, and materials science. Skilled in product development and testing.","CAD design,thermodynamics,materials science,product development,testing"
resume10.pdf,"Electrical engineer proficient in circuit design, embedded systems, and signal processing. Experienced in using MATLAB and Simulink.","circuit design,embedded systems,signal processing,MATLAB,Simulink"
resume11.pdf,"Civil engineer with expertise in structural analysis, construction management, and geotechnical engineering. Skilled in using AutoCAD and Civil 3D.","structural analysis,construction management,geotechnical engineering,AutoCAD,Civil 3D"
resume12.docx,"Chemical engineer with experience in process engineering, chemical reactions, and safety protocols. Skilled in laboratory techniques and equipment maintenance.","process engineering,chemical reactions,safety protocols,laboratory techniques,equipment maintenance"
resume13.pdf,"Architect with strong skills in architectural design, project management, and sustainability. Experienced in using Revit and SketchUp.","architectural design,project management,sustainability,Revit,SketchUp"
resume14.docx,"HR manager with expertise in recruitment, employee relations, and performance management. Skilled in HR policies and compliance.","recruitment,employee relations,performance management,HR policies,compliance"
resume15.pdf,"Business analyst proficient in data analysis, business process improvement, and requirements gathering. Experienced in using SQL and business intelligence tools.","data analysis,business process improvement,requirements gathering,SQL,business intelligence tools"
resume16.pdf,"Graphic designer with skills in Adobe Creative Suite, branding, and UX/UI design. Proven ability in creating visual content and marketing materials.","Adobe Creative Suite,branding,UX/UI design,visual content,marketing materials"
resume17.docx,"Healthcare professional with experience in patient care, medical documentation, and healthcare administration. Skilled in EMR systems and patient communication.","patient care,medical documentation,healthcare administration,EMR systems,patient communication"
resume18.pdf,"Environmental scientist with expertise in environmental assessments, sustainability, and regulatory compliance. Skilled in data analysis and fieldwork.","environmental assessments,sustainability,regulatory compliance,data analysis,fieldwork"
resume19.docx,"Teacher with experience in curriculum development, classroom management, and student assessment. Skilled in educational technology and instructional design.","curriculum development,classroom management,student assessment,educational technology,instructional design"
resume20.pdf,"Lawyer with expertise in legal research, contract law, and litigation. Skilled in case management and legal writing.","legal research,contract law,litigation,case management,legal writing"
